team,Win,season,FG%_last_five_reg,2PA_last_five_reg,2P%_last_five_reg,3P%_last_five_reg,FT%_last_five_reg,eFG%_last_five_reg,3PAr_last_five_reg,FTr_last_five_reg,ORB%_last_five_reg,DRB%_last_five_reg,TRB%_last_five_reg,AST%_last_five_reg,STL%_last_five_reg,BLK%_last_five_reg,TOV%_last_five_reg,ORtg_last_five_reg,DRtg_last_five_reg,SRS_last_five_reg,last_five_wins,FG%_conf_tournament,2PA_conf_tournament,2P%_conf_tournament,3P%_conf_tournament,FT%_conf_tournament,eFG%_conf_tournament,3PAr_conf_tournament,FTr_conf_tournament,ORB%_conf_tournament,DRB%_conf_tournament,TRB%_conf_tournament,AST%_conf_tournament,STL%_conf_tournament,BLK%_conf_tournament,TOV%_conf_tournament,ORtg_conf_tournament,DRtg_conf_tournament,SRS_conf_tournament,wins_conf_tournament,conf_tournament_champ,FG%_season_end,2PA_season_end,2P%_season_end,3P%_season_end,FT%_season_end,eFG%_season_end,3PAr_season_end,FTr_season_end,ORB%_season_end,DRB%_season_end,TRB%_season_end,AST%_season_end,STL%_season_end,BLK%_season_end,TOV%_season_end,ORtg_season_end,DRtg_season_end,wins_season_end,losses_season_end,G_x,W/L%_x,SRS_x,SOS_x,fgper,3p_per,ftper,pace,ortg,FTr,3PAr,rebound_percentage,assist_percentage,steal_percentage,block_percentage,eFG,tov_percentage,oreb_percentage,ft_per_fga,date_time,FG%_last_five_reg_opponent,2PA_last_five_reg_opponent,2P%_last_five_reg_opponent,3P%_last_five_reg_opponent,FT%_last_five_reg_opponent,eFG%_last_five_reg_opponent,3PAr_last_five_reg_opponent,FTr_last_five_reg_opponent,ORB%_last_five_reg_opponent,DRB%_last_five_reg_opponent,TRB%_last_five_reg_opponent,AST%_last_five_reg_opponent,STL%_last_five_reg_opponent,BLK%_last_five_reg_opponent,TOV%_last_five_reg_opponent,ORtg_last_five_reg_opponent,DRtg_last_five_reg_opponent,SRS_last_five_reg_opponent,last_five_wins_opponent,FG%_conf_tournament_opponent,2PA_conf_tournament_opponent,2P%_conf_tournament_opponent,3P%_conf_tournament_opponent,FT%_conf_tournament_opponent,eFG%_conf_tournament_opponent,3PAr_conf_tournament_opponent,FTr_conf_tournament_opponent,ORB%_conf_tournament_opponent,DRB%_conf_tournament_opponent,TRB%_conf_tournament_opponent,AST%_conf_tournament_opponent,STL%_conf_tournament_opponent,BLK%_conf_tournament_opponent,TOV%_conf_tournament_opponent,ORtg_conf_tournament_opponent,DRtg_conf_tournament_opponent,SRS_conf_tournament_opponent,wins_conf_tournament_opponent,conf_tournament_champ_opponent,FG%_season_end_opponent,2PA_season_end_opponent,2P%_season_end_opponent,3P%_season_end_opponent,FT%_season_end_opponent,eFG%_season_end_opponent,3PAr_season_end_opponent,FTr_season_end_opponent,ORB%_season_end_opponent,DRB%_season_end_opponent,TRB%_season_end_opponent,AST%_season_end_opponent,STL%_season_end_opponent,BLK%_season_end_opponent,TOV%_season_end_opponent,ORtg_season_end_opponent,DRtg_season_end_opponent,wins_season_end_opponent,losses_season_end_opponent,W/L%_x_opponent,SRS_x_opponent,SOS_x_opponent,fgper_opponent,3p_per_opponent,ftper_opponent,pace_opponent,ortg_opponent,FTr_opponent,3PAr_opponent,rebound_percentage_opponent,assist_percentage_opponent,steal_percentage_opponent,block_percentage_opponent,eFG_opponent,tov_percentage_opponent,oreb_percentage_opponent,ft_per_fga_opponent,team_code_opponent
norfolk-state,1,2021,0.4414,39.2,0.4866,0.351,0.6938,0.5006,0.3386,0.355,29.72,77.38,53.86,35.8,8.02,9.92,18.62,98.54,84.86,-12.39,4,0.436,32.5,0.457,0.3935,0.801,0.526,0.445,0.377,28.25,69.85,51.3,66.7,10.25,11.4,14.85,108.35,82.85,-11.27,2,1,0.439857143,37.28571429,0.478142857,0.363142857,0.724428571,0.507857143,0.369,0.361285714,29.3,75.22857143,53.12857143,44.62857143,8.657142857,10.34285714,17.54285714,101.3428571,84.28571429,6,1,25,0.68,-6.16,-8.51,0.427,0.367,0.705,72,101.7,0.37,0.357,49.6,47.9,9,10.3,0.492,15.6,27.3,0.261,"Thu, Mar 18, 2021 8:40p",0.3808,35,0.471,0.2726,0.6768,0.439,0.435,0.27,29.18,68.78,47.74,37.54,10.46,11.68,12.2,95.48,101.92,-6.84,1,0.3795,30.75,0.37375,0.388,0.71525,0.47325,0.48375,0.38775,24.05,74.4,48.625,58.05,12.775,6,13.625,98.85,91.8,-3.6625,4,1,0.380222222,33.11111111,0.427777778,0.323888889,0.693888889,0.454222222,0.456666667,0.322333333,26.9,71.27777778,48.13333333,46.65555556,11.48888889,9.155555556,12.83333333,96.97777778,97.42222222,5,4,0.586,-5.84,-5.72,0.409,0.316,0.742,66.8,103.1,0.34,0.437,50.8,49.9,11.6,10.4,0.478,14.9,29.8,0.252,appalachian-state
norfolk-state,0,2021,0.4414,39.2,0.4866,0.351,0.6938,0.5006,0.3386,0.355,29.72,77.38,53.86,35.8,8.02,9.92,18.62,98.54,84.86,-12.39,4,0.436,32.5,0.457,0.3935,0.801,0.526,0.445,0.377,28.25,69.85,51.3,66.7,10.25,11.4,14.85,108.35,82.85,-11.27,2,1,0.439857143,37.28571429,0.478142857,0.363142857,0.724428571,0.507857143,0.369,0.361285714,29.3,75.22857143,53.12857143,44.62857143,8.657142857,10.34285714,17.54285714,101.3428571,84.28571429,6,1,25,0.68,-6.16,-8.51,0.427,0.367,0.705,72,101.7,0.37,0.357,49.6,47.9,9,10.3,0.492,15.6,27.3,0.261,"Sat, Mar 20, 2021 9:20p",0.5752,40.4,0.6464,0.4262,0.776,0.6434,0.3216,0.4026,21.18,76.92,52.2,50.12,11.94,9,16.04,122.2,88.74,2.866,5,0.5205,39,0.572,0.3975,0.6515,0.5935,0.349,0.3255,19.55,82.15,53.45,43.85,6.95,2.55,12.05,116.1,93.15,11.62,2,1,0.559571429,40,0.625142857,0.418,0.740428571,0.629142857,0.329428571,0.380571429,20.71428571,78.41428571,52.55714286,48.32857143,10.51428571,7.157142857,14.9,120.4571429,90,7,0,0.969,27.2,5.92,0.549,0.368,0.73,74.6,121.5,0.358,0.332,55,55.7,10.6,6.9,0.61,14.3,29.2,0.261,gonzaga
michigan,1,2021,0.4376,40.2,0.4662,0.3788,0.7572,0.4932,0.2914,0.2772,23.78,75.72,50.22,39.76,7.22,5.56,13.42,101.78,92.98,15.408,3,0.434,38,0.4605,0.3855,0.9565,0.502,0.35,0.2605,26.95,79.45,53.15,68.85,7.25,8.95,5.8,116.85,107.2,16.095,1,0,0.436571429,39.57142857,0.464571429,0.380714286,0.814142857,0.495714286,0.308142857,0.272428571,24.68571429,76.78571429,51.05714286,48.07142857,7.228571429,6.528571429,11.24285714,106.0857143,97.04285714,4,3,28,0.821,22,11.25,0.482,0.381,0.769,67.8,111.3,0.304,0.339,54.7,57.5,6.3,10.1,0.547,14.7,28.9,0.233,"Mon, Mar 22, 2021 7:10p",0.4622,43.6,0.5238,0.3534,0.6638,0.5246,0.36,0.3082,32.32,72.16,52.84,38.02,6.76,6.92,12.58,110.14,103.82,10.59,3,0.425,46.33333333,0.439666667,0.398,0.749,0.488333333,0.320333333,0.216333333,32.76666667,60.96666667,47.33333333,36.73333333,11.2,7.333333333,9.866666667,109.1,105.0333333,16.18666667,2,0,0.44825,44.625,0.49225,0.370125,0.69575,0.511,0.345125,0.27375,32.4875,67.9625,50.775,37.5375,8.425,7.075,11.5625,109.75,104.275,5,3,0.655,15.7,9.14,0.459,0.347,0.751,72.6,112.1,0.34,0.37,50.4,42,10.6,8.2,0.523,13.5,31.2,0.255,louisiana-state
michigan,1,2021,0.4376,40.2,0.4662,0.3788,0.7572,0.4932,0.2914,0.2772,23.78,75.72,50.22,39.76,7.22,5.56,13.42,101.78,92.98,15.408,3,0.434,38,0.4605,0.3855,0.9565,0.502,0.35,0.2605,26.95,79.45,53.15,68.85,7.25,8.95,5.8,116.85,107.2,16.095,1,0,0.436571429,39.57142857,0.464571429,0.380714286,0.814142857,0.495714286,0.308142857,0.272428571,24.68571429,76.78571429,51.05714286,48.07142857,7.228571429,6.528571429,11.24285714,106.0857143,97.04285714,4,3,28,0.821,22,11.25,0.482,0.381,0.769,67.8,111.3,0.304,0.339,54.7,57.5,6.3,10.1,0.547,14.7,28.9,0.233,"Sun, Mar 28, 2021 5:00p",0.4668,42.8,0.5334,0.3342,0.7352,0.5242,0.3322,0.2838,34.54,67.22,51.76,45.3,10.68,14.72,16.08,106.5,97.22,6.874,3,0.5065,37.5,0.523,0.459,0.7565,0.57,0.2725,0.3475,42.25,62.6,54.3,44.35,6.2,13.4,25.95,101.6,103.15,13.79,1,0,0.478142857,41.28571429,0.530428571,0.369857143,0.741285714,0.537285714,0.315142857,0.302,36.74285714,65.9,52.48571429,45.02857143,9.4,14.34285714,18.9,105.1,98.91428571,4,3,0.72,17.12,9.16,0.474,0.376,0.741,70,109.1,0.324,0.349,52.6,52.4,10.3,14.3,0.54,17.6,33.7,0.24,florida-state
maryland,1,2021,0.466,26.6,0.5402,0.3842,0.6754,0.5536,0.4594,0.3524,13.84,76.36,48.18,58.52,9.52,11.18,14.78,104.64,96.54,10.652,3,0.4315,31.5,0.536,0.304,0.732,0.496,0.4225,0.3285,20.85,71.25,45.4,54.55,6.5,5.35,13.7,101.8,104.4,15.9,1,0,0.456142857,28,0.539,0.361285714,0.691571429,0.537142857,0.448857143,0.345571429,15.84285714,74.9,47.38571429,57.38571429,8.657142857,9.514285714,14.47142857,103.8285714,98.78571429,4,3,31,0.548,13.94,11.97,0.46,0.357,0.699,65.9,104.4,0.329,0.433,49.1,55.1,7.6,10,0.538,15.3,20.2,0.23,"Sat, Mar 20, 2021 7:10p",0.4734,40.4,0.562,0.2978,0.7776,0.5258,0.3344,0.264,35.02,78.14,58.02,42.26,6.6,13.54,13.9,108.2,94.08,11.472,4,0.3875,46,0.453,0.25,0.786,0.4265,0.3045,0.3155,36.85,67.1,51.9,55.7,8.5,9.85,9.1,106.6,85.95,9.475,1,0,0.448857143,42,0.530857143,0.284142857,0.78,0.497428571,0.325857143,0.278714286,35.54285714,74.98571429,56.27142857,46.1,7.142857143,12.48571429,12.52857143,107.7428571,91.75714286,5,2,0.652,15.77,8.59,0.434,0.335,0.722,66.2,107.8,0.29,0.334,53.6,49.3,9.3,14.6,0.49,14.5,37,0.21,connecticut
maryland,0,2021,0.466,26.6,0.5402,0.3842,0.6754,0.5536,0.4594,0.3524,13.84,76.36,48.18,58.52,9.52,11.18,14.78,104.64,96.54,10.652,3,0.4315,31.5,0.536,0.304,0.732,0.496,0.4225,0.3285,20.85,71.25,45.4,54.55,6.5,5.35,13.7,101.8,104.4,15.9,1,0,0.456142857,28,0.539,0.361285714,0.691571429,0.537142857,0.448857143,0.345571429,15.84285714,74.9,47.38571429,57.38571429,8.657142857,9.514285714,14.47142857,103.8285714,98.78571429,4,3,31,0.548,13.94,11.97,0.46,0.357,0.699,65.9,104.4,0.329,0.433,49.1,55.1,7.6,10,0.538,15.3,20.2,0.23,"Mon, Mar 22, 2021 8:45p",0.4016,34.8,0.5074,0.316,0.6332,0.4744,0.4774,0.2586,30.86,74.96,51.46,48.98,12.28,10.36,14.98,97.56,93.18,9.964,4,0.430666667,36.33333333,0.54,0.314666667,0.747333333,0.507,0.479,0.157,35.26666667,65.13333333,50.16666667,49,11.53333333,14.53333333,13.33333333,110.4333333,89.7,13.93666667,3,1,0.4125,35.375,0.519625,0.3155,0.676,0.486625,0.478,0.2205,32.5125,71.275,50.975,48.9875,12,11.925,14.3625,102.3875,91.875,7,1,0.788,19.58,10.01,0.435,0.352,0.708,74.7,106.3,0.288,0.465,51.7,50.2,11.3,10.6,0.517,15.9,31.8,0.204,alabama
loyola-il,1,2021,0.4432,33.2,0.5332,0.287,0.6838,0.4948,0.3718,0.2822,27.58,84.4,54.94,53.42,11.8,12.6,16.34,99.16,85.22,1.502,4,0.518333333,31.66666667,0.532,0.495,0.830666667,0.611666667,0.375666667,0.236333333,25.73333333,82.7,57.03333333,70.5,9.8,8.166666667,15.93333333,118.5,91.03333333,2.633333333,3,1,0.471375,32.625,0.53275,0.365,0.738875,0.538625,0.37325,0.265,26.8875,83.7625,55.725,59.825,11.05,10.9375,16.1875,106.4125,87.4,7,1,31,0.839,15.12,1.37,0.498,0.365,0.719,63.8,110.5,0.322,0.375,54.2,60.9,10.8,7,0.567,16.4,25.9,0.231,"Fri, Mar 19, 2021 4:00p",0.5204,39.2,0.6096,0.3364,0.7446,0.5786,0.336,0.2732,28.54,71.58,52.12,59.42,13.1,7,13.6,114.58,94.74,8.77,5,0.459,41,0.526,0.342,0.6665,0.5095,0.315,0.3295,25.7,63.65,41.35,50.85,17.2,10.55,11.6,107.25,100.85,10.175,2,1,0.502857143,39.71428571,0.585714286,0.338,0.722285714,0.558857143,0.33,0.289285714,27.72857143,69.31428571,49.04285714,56.97142857,14.27142857,8.014285714,13.02857143,112.4857143,96.48571429,7,0,0.654,12.79,7.91,0.477,0.348,0.726,67.9,107.8,0.284,0.364,46.9,57.1,13.1,9.6,0.54,14.4,24.3,0.206,georgia-tech
loyola-il,1,2021,0.4432,33.2,0.5332,0.287,0.6838,0.4948,0.3718,0.2822,27.58,84.4,54.94,53.42,11.8,12.6,16.34,99.16,85.22,1.502,4,0.518333333,31.66666667,0.532,0.495,0.830666667,0.611666667,0.375666667,0.236333333,25.73333333,82.7,57.03333333,70.5,9.8,8.166666667,15.93333333,118.5,91.03333333,2.633333333,3,1,0.471375,32.625,0.53275,0.365,0.738875,0.538625,0.37325,0.265,26.8875,83.7625,55.725,59.825,11.05,10.9375,16.1875,106.4125,87.4,7,1,31,0.839,15.12,1.37,0.498,0.365,0.719,63.8,110.5,0.322,0.375,54.2,60.9,10.8,7,0.567,16.4,25.9,0.231,"Sun, Mar 21, 2021 12:10p",0.4786,42.4,0.5336,0.3638,0.6722,0.521,0.2552,0.4558,32.98,80.2,58.24,45.6,7.18,4.88,15.96,106.54,95.56,14.67,4,0.487666667,46,0.549333333,0.307666667,0.725666667,0.532333333,0.278,0.437,34.9,84.5,58.73333333,56.83333333,8.8,7.433333333,12.13333333,115.4,99.36666667,17.93,3,1,0.482,43.75,0.5395,0.34275,0.69225,0.52525,0.26375,0.44875,33.7,81.8125,58.425,49.8125,7.7875,5.8375,14.525,109.8625,96.9875,7,1,0.774,23.25,11.34,0.5,0.373,0.69,71.2,111.7,0.379,0.299,56.8,55.7,7.9,6.9,0.556,15.8,32,0.262,illinois
kansas,1,2021,0.4366,36.2,0.521,0.278,0.6538,0.4854,0.3492,0.37,28.74,71,50.12,51.78,9.26,12.74,15.36,99.12,87.04,11.752,4,0.464,34,0.529,0.364,0.818,0.536,0.393,0.196,17.2,77.8,46.4,50,14.9,3.2,16.4,103,92.5,13.52,1,1,0.441166667,35.83333333,0.522333333,0.292333333,0.681166667,0.493833333,0.3565,0.341,26.81666667,72.13333333,49.5,51.48333333,10.2,11.15,15.53333333,99.76666667,87.95,5,1,30,0.7,15.29,10.26,0.436,0.342,0.716,69.7,104.3,0.298,0.367,52,52.6,9.9,10.9,0.499,14.8,30.5,0.213,"Sat, Mar 20, 2021 1:15p",0.487,36.8,0.5344,0.4112,0.7778,0.5636,0.3746,0.3064,23.22,72.42,49.34,56.52,9.2,6.44,12.26,114.54,100,-5.94,4,0.461,32.33333333,0.566,0.312,0.753,0.52,0.394666667,0.346,22.86666667,84.93333333,57.5,57.26666667,6.833333333,7.2,17.3,101.8666667,80.66666667,-7.413333333,3,1,0.47725,35.125,0.54625,0.374,0.7685,0.54725,0.382125,0.32125,23.0875,77.1125,52.4,56.8,8.3125,6.725,14.15,109.7875,92.75,7,1,0.667,4.03,-3.15,0.468,0.355,0.791,71.8,109,0.302,0.403,50.7,54.7,6.7,7.4,0.54,14.5,23,0.239,eastern-washington
iowa,1,2021,0.459,34.8,0.5452,0.3618,0.6488,0.5368,0.4278,0.258,21.82,83.46,53.22,58.9,7.6,12.48,11.68,107,96.64,15.416,4,0.406,42,0.4975,0.2165,0.793,0.4455,0.344,0.1875,24.3,76,49.05,71.15,8,15.45,12.45,95.15,98.5,20.235,1,0,0.443857143,36.85714286,0.531571429,0.320285714,0.69,0.510714286,0.403857143,0.237857143,22.52857143,81.32857143,52.02857143,62.4,7.714285714,13.32857143,11.9,103.6142857,97.17142857,5,2,31,0.71,21.4,10.43,0.471,0.386,0.715,71,117.5,0.32,0.398,51.8,64.4,7.8,11.6,0.547,11.5,30.5,0.228,"Sat, Mar 20, 2021 6:25p",0.4252,34.2,0.4768,0.3436,0.6468,0.4914,0.3876,0.3112,29.72,75.02,53.9,62.06,5.84,5.14,18.28,96.06,94.14,-4.51,2,0.4865,34.5,0.55,0.381,0.7755,0.558,0.3785,0.36,41.85,82.2,65.6,42.6,8.3,10.3,14.3,118.3,79,-3.225,2,1,0.442714286,34.28571429,0.497714286,0.354285714,0.683571429,0.510428571,0.385,0.325142857,33.18571429,77.07142857,57.24285714,56.5,6.542857143,6.614285714,17.14285714,102.4142857,89.81428571,4,3,0.708,5.11,-3.46,0.488,0.329,0.684,68.2,110.7,0.314,0.358,56.8,57.7,7.1,9.1,0.547,16.2,32.4,0.215,grand-canyon
